Designator,Mid X,Mid Y,Rotation,Layer
C1,143.4875,-62.3,180.0,top
C2,157.2,-62.075,180.0,top
C4,150.6375,-47.625,180.0,top
C6,151.3875,-50.4,270.0,top
C7,161.9375,-51.15,270.0,top
C8,161.575,-47.080949,180.0,top
D1,140.1625,-47.075,180.0,top
D2,153.8625,-48.7125,90.0,top
D3,143.5125,-48.7375,90.0,top
IC1,157.4125,-49.288,0.0,top
IC2,146.9125,-49.363,0.0,top
J1,139.6875,-58.7,270.0,top
R1,144.6125,-56.475,270.0,top
R10,149.8875,-49.875,270.0,top
R11,160.4125,-49.330949,270.0,top
R12,152.0125,-63.325,180.0,top
R13,157.0625,-55.35,270.0,top
R14,157.0375,-58.325,90.0,top
R2,144.6125,-59.6,90.0,top
R3,157.2,-60.6,0.0,top
R4,139.3875,-49.35,90.0,top
R5,140.9125,-49.35,270.0,top
R6,150.9625,-53.097499,180.0,top
R7,147.9625,-53.497499,180.0,top
R8,158.5875,-53.122499,0.0,top
R9,153.9875,-53.097499,180.0,top
U1,152.5125,-58.479999,270.0,top
