Designator,Footprint,Quantity,Value,LCSC Part #
"1, 10, 11, 12, 13, 16, 17, 18, 2, 21, 3, 43, 44, SCL, SDA",TestPoint_Pad_D2.0mm,15,TestPoint,
C1,603,1,10µF,C76614
C2,603,1,22µF,C22367828
"C3, C4",603,2,0.1µF,C14663
D1,D_SMA,1,D_Schottky,C2480
J10,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,1,Conn_01x02,C160402
J2,USBC_Power_Module,1,~,
J3,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,1,LED_Strip,C265101
"J4, J5, J6, J7, J8, J9",JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,6,Conn_01x03,C2845362
"R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R20, R21",603,12,100Ω,C105588
"R3, R4, R5, R7, R8, R9",603,6,10kΩ,C25804
R6,603,1,10kΩ,
U3,SOP65P640X120-24N,1,TCA9548APWR,C130026
U4,SOT229P700X180-4N,1,AMS1117-3.3,C6186
