Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10µF,C_0603_1608Metric,159.497500,-101.000000,-90.000000,top
C2,22µF,C_0603_1608Metric,148.497500,-101.000000,90.000000,top
C3,0.1µF,C_0603_1608Metric,161.497500,-101.000000,90.000000,top
C4,0.1µF,C_0603_1608Metric,150.297500,-101.000000,90.000000,top
D1,D_Schottky,D_SMA,162.497500,-96.600000,180.000000,top
J3,LED_Strip,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,167.097500,-88.200000,90.000000,top
J4,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.287500,-64.150000,-90.000000,top
J5,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.312500,-70.150000,-90.000000,top
J6,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.287500,-76.150000,-90.000000,top
J7,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.312500,-82.150000,-90.000000,top
J8,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.312500,-88.250000,-90.000000,top
J9,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.312500,-94.250000,-90.000000,top
J10,Conn_01x02,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,138.312500,-100.200000,-90.000000,top
R1,4.7kΩ,R_0603_1608Metric,138.900000,-107.200000,90.000000,top
R2,4.7kΩ,R_0603_1608Metric,137.000000,-107.200000,90.000000,top
R3,10kΩ,R_0603_1608Metric,143.150000,-65.650000,180.000000,top
R4,10kΩ,R_0603_1608Metric,143.175000,-71.750000,180.000000,top
R5,10kΩ,R_0603_1608Metric,143.175000,-77.650000,180.000000,top
R6,10kΩ,R_0603_1608Metric,154.800000,-82.000000,90.000000,top
R7,10kΩ,R_0603_1608Metric,143.175000,-83.550000,180.000000,top
R8,10kΩ,R_0603_1608Metric,143.200000,-90.000000,180.000000,top
R9,10kΩ,R_0603_1608Metric,143.200000,-95.900000,180.000000,top
R10,100Ω,R_0603_1608Metric,143.150000,-62.650000,0.000000,top
R11,100Ω,R_0603_1608Metric,143.150000,-64.150000,0.000000,top
R12,100Ω,R_0603_1608Metric,143.175000,-68.750000,0.000000,top
R13,100Ω,R_0603_1608Metric,143.175000,-70.250000,0.000000,top
R14,100Ω,R_0603_1608Metric,143.175000,-74.650000,0.000000,top
R15,100Ω,R_0603_1608Metric,143.175000,-76.150000,0.000000,top
R16,100Ω,R_0603_1608Metric,143.175000,-80.550000,0.000000,top
R17,100Ω,R_0603_1608Metric,143.175000,-82.050000,0.000000,top
R18,100Ω,R_0603_1608Metric,143.200000,-87.000000,0.000000,top
R19,100Ω,R_0603_1608Metric,143.200000,-88.500000,0.000000,top
R20,100Ω,R_0603_1608Metric,143.200000,-92.900000,0.000000,top
R21,100Ω,R_0603_1608Metric,143.200000,-94.400000,0.000000,top
U3,TCA9548APWR,SOP65P640X120-24N,152.500000,-88.155000,-90.000000,top
U4,AMS1117-3.3,SOT229P700X180-4N,154.897500,-98.237500,90.000000,top
