Designator,Val,Package,MidX,MidY,Rotation,Layer
C1,10µF,C_0603_1608Metric,159.4975,-101.0,270.0,top
C2,22µF,C_0603_1608Metric,148.4975,-101.0,90.0,top
C3,0.1µF,C_0603_1608Metric,161.4975,-101.0,90.0,top
C4,0.1µF,C_0603_1608Metric,150.2975,-101.0,90.0,top
D1,D_Schottky,D_SMA,162.4975,-96.6,180.0,top
J3,LED_Strip,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,167.0975,-88.2,270.0,top
J4,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.2875,-64.15,270.0,top
J5,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.3125,-70.15,270.0,top
J6,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.2875,-76.15,270.0,top
J7,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.3125,-82.15,270.0,top
J8,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.3125,-88.25,270.0,top
J9,Conn_01x03,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,138.3125,-94.25,270.0,top
J10,Conn_01x02,JST_SH_SM02B-SRSS-TB_1x02-1MP_P1.00mm_Horizontal,138.3125,-100.2,270.0,top
R1,4.7kΩ,R_0603_1608Metric,138.9,-107.2,90.0,top
R2,4.7kΩ,R_0603_1608Metric,137.0,-107.2,90.0,top
R3,10kΩ,R_0603_1608Metric,143.15,-65.65,180.0,top
R4,10kΩ,R_0603_1608Metric,143.175,-71.75,180.0,top
R5,10kΩ,R_0603_1608Metric,143.175,-77.65,180.0,top
R6,10kΩ,R_0603_1608Metric,154.8,-82.0,90.0,top
R7,10kΩ,R_0603_1608Metric,143.175,-83.55,180.0,top
R8,10kΩ,R_0603_1608Metric,143.2,-90.0,180.0,top
R9,10kΩ,R_0603_1608Metric,143.2,-95.9,180.0,top
R10,100Ω,R_0603_1608Metric,143.15,-62.65,0.0,top
R11,100Ω,R_0603_1608Metric,143.15,-64.15,0.0,top
R12,100Ω,R_0603_1608Metric,143.175,-68.75,0.0,top
R13,100Ω,R_0603_1608Metric,143.175,-70.25,0.0,top
R14,100Ω,R_0603_1608Metric,143.175,-74.65,0.0,top
R15,100Ω,R_0603_1608Metric,143.175,-76.15,0.0,top
R16,100Ω,R_0603_1608Metric,143.175,-80.55,0.0,top
R17,100Ω,R_0603_1608Metric,143.175,-82.05,0.0,top
R18,100Ω,R_0603_1608Metric,143.2,-87.0,0.0,top
R19,100Ω,R_0603_1608Metric,143.2,-88.5,0.0,top
R20,100Ω,R_0603_1608Metric,143.2,-92.9,0.0,top
R21,100Ω,R_0603_1608Metric,143.2,-94.4,0.0,top
U3,TCA9548APWR,SOP65P640X120-24N,152.5,-88.155,180,top
U4,AMS1117-3.3,SOT229P700X180-4N,154.8975,-98.2375,270,top
