Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C20",0603,2,1µF,C15849
"C10, C8",0603,2,10uF,C19702
"C2, C33",0603,2,2.2µF,C23630
"C21, C24",0603,2,4.7µF,C19666
C22,C_Elec_6.3x5.4,1,47µF 16V,C2836440
"C23, C37",0603,2,47nF,C107093
"C25, C26, C27, C28",0603,4,10µF,C96446
C29,CP_Elec_6.3x7.7,1,220µF 10V,C3342
C30,C_Elec_6.3x5.4,1,47µF 10V,C2836440
"C31, C32, C40",0603,3,0.1µF,C14663
"C34, C35, C36",0805,3,22µF,C59461
C38,0603,1,4.7nF,C1621
C39,0603,1,100pF,C14858
C41,0805,1,10µF,C15850
"C7, C9",0603,2,100nF,C14663
F1,1206,1,3A,C354897
F2,1206,1,3A,C2897466
IC1,SOP65P640X120-14N,1,SN74AHCT125PWR,C36365
J3,JST_PH_S3B-PH-SM4-TB_1x03-1MP_P2.00mm_Horizontal,1,LED_Strip,C265101
"J4, J5, J6",JST_SH_SM05B-SRSS-TB_1x05-1MP_P1.00mm_Horizontal,3,Conn_01x05,C136657
J7,USB-C_SMD-TYPE-C-31-M-12_1,1,TYPE-C-31-M-12,C165948
J8,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,1,JST_PH_2pin,C18221575
L1,L_Changjiang_FNR6028S,1,2.2µH,C266426
L2,IND-SMD_L7.0-W6.6,1,2.2µH 10A,C167218
Q2,SOT-23,1,PMOS,C15127
R27,2512,1,0.1R,C2903476
"R28, R29",0603,2,2.2kΩ,C114662
"R30, R31",0603,2,5.1kΩ,C23186
R32,0603,1,330Ω,C23138
"R33, R34, R41, R42",0603,4,100kΩ,C14675
"R35, R38, R6",0603,3,10kΩ,C25804
R36,0603,1,5.6kΩ,C23189
R37,0603,1,30kΩ,C22984
R39,0603,1,180kΩ,C22827
R40,0603,1,56kΩ,C23206
R43,0603,1,22kΩ,C31850
R44,2512,1,10mΩ,C1322424
TH1,0603,1,10kΩ NTC,C13564
TP1,TestPoint_Pad_D1.5mm,1,VSYS,
TP2,TestPoint_Pad_D1.5mm,1,VBAT,
TP3,TestPoint_Pad_D1.5mm,1,PVBUS,
TP4,TestPoint_Pad_D1.5mm,1,PGND,
"TPIO1, TPIO10, TPIO11, TPIO12, TPIO13, TPIO16, TPIO2, TPIO3, TPIO43, TPIO44, TP_3V1, TP_5V1, TP_GND1",TestPoint_Pad_D2.0mm,13,TestPoint,
U1,SOT95P285X140-5N,1,AP2112K-3.3TRG1,C51118
U2,T-Display-S3,1,T-Display-S3,
U4,SOP65P640X120-24N,1,TCA9548APWR,C130026
U5,VQFN-24_L4.0-W4.0-P0.50-TL-EP2.8,1,BQ24195RGER,C90862
U6,VQFN-20_L4.6-W3.6-P0.50-BL,1,TPS61088RHLR,C87357
U7,SOT-23-8_L3.0-W1.7-P0.65-LS2.8-BR,1,INA219AIDCNR,C87469
