Designator,Mid X,Mid Y,Rotation,Layer
C1,119.899,-124.2,180.0,top
C10,130.025,-121.0,180.0,top
C2,119.924,-125.95,180.0,top
C20,91.625,-119.78,180.0,top
C21,91.788,-121.336,180.0,top
C22,104.7,-106.8,270.0,top
C23,99.205,-118.717,180.0,top
C24,103.4,-114.305,90.0,top
C25,106.4,-114.255,90.0,top
C26,104.9,-114.305,90.0,top
C27,100.925,-123.08,0.0,top
C28,100.983,-124.566,0.0,top
C29,107.876,-122.68,180.0,top
C30,82.331,-109.573,270.0,top
C31,83.589,-128.711,90.0,top
C32,86.445,-129.366,0.0,top
C33,87.15,-138.5,0.0,top
C34,78.979,-132.07,180.0,top
C35,79.037,-130.05,180.0,top
C36,78.8,-134.05,180.0,top
C37,81.85,-127.425,90.0,top
C38,79.45,-139.1,180.0,top
C39,83.25,-138.475,270.0,top
C40,103.9,-133.1,180.0,top
C41,89.6,-128.503,90.0,top
C7,109.875,-112.5,0.0,top
C8,126.6,-113.25,90.0,top
C9,126.775,-121.0,180.0,top
F1,110.5,-109.2,270.0,top
F2,90.832,-111.077,0.0,top
IC1,127.912,-108.7,180.0,top
J3,117.25,-105.5,0.0,top
J4,116.3,-138.425,0.0,top
J5,125.5,-138.4,0.0,top
J6,134.7,-138.4,0.0,top
J7,94.256,-106.15,180.0,top
J8,80.5,-118.95,90.0,top
L1,96.686,-114.33,90.0,top
L2,90.3,-134.05,0.0,top
Q2,88.288,-114.253,180.0,top
R27,117.6375,-115.75,0.0,top
R28,134.6,-127.375,270.0,top
R29,134.6,-123.6,90.0,top
R30,100.1535,-105.7,90.0,top
R31,88.034,-108.116,270.0,top
R32,95.7,-126.6,270.0,top
R33,91.1,-115.955,270.0,top
R34,87.4,-116.98,180.0,top
R35,94.2,-126.5,270.0,top
R36,105.3,-117.58,0.0,top
R37,108.525,-118.18,0.0,top
R38,92.7,-126.5,270.0,top
R39,79.225,-137.3,0.0,top
R40,79.125,-135.8,180.0,top
R41,86.05,-127.7,0.0,top
R42,84.85,-138.525,270.0,top
R43,81.72,-138.4,270.0,top
R44,97.6,-133.6,270.0,top
R6,139.4,-114.5,270.0,top
TH1,108.525,-116.58,0.0,top
U1,116.349,-125.385,270.0,top
U2,167.25,-107.5,90.0,top
U4,127.275,-125.73,90.0,top
U5,96.336,-122.23,0.0,top
U6,83.596,-133.4,90.0,top
U7,104.1,-130.63,0.0,top
