Designator,Mid X,Mid Y,Rotation,Layer
,152.6075,-138.75,0.0,top
C1,159.4975,-101.0,90.0,top
C2,148.4975,-101.0,90.0,top
C3,161.4975,-101.0,90.0,top
C4,150.2975,-101.0,90.0,top
D1,162.4975,-96.6,180.0,top
J10,138.3125,-100.2,270.0,top
J3,167.0975,-88.2,270.0,top
J4,138.2875,-64.15,270.0,top
J5,138.3125,-70.15,270.0,top
J6,138.2875,-76.15,270.0,top
J7,138.3125,-82.15,270.0,top
J8,138.3125,-88.25,270.0,top
J9,138.3125,-94.25,270.0,top
R10,143.15,-62.65,0.0,top
R11,143.15,-64.15,0.0,top
R12,143.175,-68.75,0.0,top
R13,143.175,-70.25,0.0,top
R14,143.175,-74.65,0.0,top
R15,143.175,-76.15,0.0,top
R16,143.175,-80.55,0.0,top
R17,143.175,-82.05,0.0,top
R18,143.2,-87.0,0.0,top
R19,143.2,-88.5,0.0,top
R20,143.2,-92.9,0.0,top
R21,143.2,-94.4,0.0,top
R3,143.15,-65.65,180.0,top
R4,143.175,-71.75,180.0,top
R5,143.175,-77.65,180.0,top
R6,154.8,-82.0,90.0,top
R7,143.175,-83.55,180.0,top
R8,143.2,-90.0,180.0,top
R9,143.2,-95.9,180.0,top
U3,152.5,-88.155,270.0,top
U4,154.8975,-98.2375,90.0,top
