Designator,Mid X,Mid Y,Rotation,Layer
C1,168.25,-61.25,180.0,top
C2,147.75,-50.475,270.0,top
C3,143.5,-56.0,90.0,top
C4,155.5,-53.25,0.0,top
C5,155.75,-50.475,90.0,top
C6,143.5,-60.825,90.0,top
D1,168.0,-50.2375,270.0,top
D2,161.5,-65.625,270.0,top
D3,165.25,-65.6875,270.0,top
J1,172.0,-57.5,90.0,top
R1,157.0,-58.75,90.0,top
R2,155.0,-58.675,90.0,top
R3,146.5,-66.075,270.0,top
R4,169.75,-50.275,90.0,top
R5,163.175,-61.75,180.0,top
U1,148.88,-60.775,0.0,top
U2,145.15,-51.6375,0.0,top
U3,158.9,-51.6375,0.0,top
