Designator,Mid X,Mid Y,Rotation,Layer
C1,143.475,-54.85,180.0,top
C2,149.71,-62.2625,180.0,top
D1,139.925,-45.025,180.0,top
FPC1,157.395,-48.3825,0.0,top
J1,139.6875,-58.7,270.0,top
R1,145.2,-62.075,90.0,top
R12,152.7,-63.75,0.0,top
R13,156.65,-62.425,90.0,top
R14,156.65,-59.175,270.0,top
R2,146.75,-61.05,90.0,top
R3,153.8475,-62.25,180.0,top
R4,139.925,-46.6,0.0,top
R6,152.9,-53.2,0.0,top
R7,155.925,-53.4,0.0,top
R8,156.75,-54.9,180.0,top
R9,151.775,-54.7,180.0,top
SW1,160.9,-59.6,180.0,top
U1,151.83,-58.6875,180.0,top
