timestamp_offset,pcb_id,side,proximity,ambient,session_id,device_id,start_timestamp
-524801,2,2,1,603,device-001_19219727,motionplay-device-001,19219748
-524760,1,1,2,1481,device-001_19219727,motionplay-device-001,19219748
-18,1,1,1,1479,device-001_19219727,motionplay-device-001,19219748
-18,1,2,1,1308,device-001_19219727,motionplay-device-001,19219748
-18,2,1,1,549,device-001_19219727,motionplay-device-001,19219748
-18,2,2,0,591,device-001_19219727,motionplay-device-001,19219748
23,1,1,1,1480,device-001_19219727,motionplay-device-001,19219748
23,1,2,6,1308,device-001_19219727,motionplay-device-001,19219748
23,2,1,0,553,device-001_19219727,motionplay-device-001,19219748
23,2,2,2,591,device-001_19219727,motionplay-device-001,19219748
64,1,1,1,1480,device-001_19219727,motionplay-device-001,19219748
64,1,2,1,1310,device-001_19219727,motionplay-device-001,19219748
64,2,1,1,544,device-001_19219727,motionplay-device-001,19219748
64,2,2,5,601,device-001_19219727,motionplay-device-001,19219748
105,1,1,1,1484,device-001_19219727,motionplay-device-001,19219748
105,1,2,1,1316,device-001_19219727,motionplay-device-001,19219748
105,2,1,0,544,device-001_19219727,motionplay-device-001,19219748
105,2,2,1,602,device-001_19219727,motionplay-device-001,19219748
146,1,1,1,1477,device-001_19219727,motionplay-device-001,19219748
146,1,2,1,1316,device-001_19219727,motionplay-device-001,19219748
146,2,1,1,542,device-001_19219727,motionplay-device-001,19219748
146,2,2,0,602,device-001_19219727,motionplay-device-001,19219748
187,1,1,1,1477,device-001_19219727,motionplay-device-001,19219748
187,1,2,1,1314,device-001_19219727,motionplay-device-001,19219748
187,2,1,1,542,device-001_19219727,motionplay-device-001,19219748
187,2,2,0,597,device-001_19219727,motionplay-device-001,19219748
228,1,1,2,1475,device-001_19219727,motionplay-device-001,19219748
228,1,2,1,1314,device-001_19219727,motionplay-device-001,19219748
228,2,1,3,545,device-001_19219727,motionplay-device-001,19219748
228,2,2,1,597,device-001_19219727,motionplay-device-001,19219748
269,1,1,0,1475,device-001_19219727,motionplay-device-001,19219748
269,1,2,1,1310,device-001_19219727,motionplay-device-001,19219748
269,2,1,0,545,device-001_19219727,motionplay-device-001,19219748
269,2,2,0,601,device-001_19219727,motionplay-device-001,19219748
310,1,1,1,1484,device-001_19219727,motionplay-device-001,19219748
310,1,2,1,1313,device-001_19219727,motionplay-device-001,19219748
310,2,1,6,545,device-001_19219727,motionplay-device-001,19219748
310,2,2,1,603,device-001_19219727,motionplay-device-001,19219748
351,1,1,1,1483,device-001_19219727,motionplay-device-001,19219748
351,1,2,1,1313,device-001_19219727,motionplay-device-001,19219748
351,2,1,1,551,device-001_19219727,motionplay-device-001,19219748
351,2,2,0,603,device-001_19219727,motionplay-device-001,19219748
392,1,1,2,1483,device-001_19219727,motionplay-device-001,19219748
392,1,2,1,1314,device-001_19219727,motionplay-device-001,19219748
392,2,1,1,551,device-001_19219727,motionplay-device-001,19219748
392,2,2,1,600,device-001_19219727,motionplay-device-001,19219748
433,1,1,2,1472,device-001_19219727,motionplay-device-001,19219748
433,1,2,1,1317,device-001_19219727,motionplay-device-001,19219748
433,2,1,1,548,device-001_19219727,motionplay-device-001,19219748
433,2,2,0,600,device-001_19219727,motionplay-device-001,19219748
966,2,1,1,547,device-001_19219727,motionplay-device-001,19219748
966,2,2,0,602,device-001_19219727,motionplay-device-001,19219748
1007,1,1,2,1480,device-001_19219727,motionplay-device-001,19219748
1007,1,2,1,1312,device-001_19219727,motionplay-device-001,19219748
1007,2,1,1,547,device-001_19219727,motionplay-device-001,19219748
1007,2,2,0,596,device-001_19219727,motionplay-device-001,19219748
1048,1,1,1,1483,device-001_19219727,motionplay-device-001,19219748
1048,1,2,1,1312,device-001_19219727,motionplay-device-001,19219748
1048,2,1,0,544,device-001_19219727,motionplay-device-001,19219748
