timestamp_offset,pcb_id,side,proximity,ambient,session_id,device_id,start_timestamp
-100002,2,1,14,551,device-001_19331032,motionplay-device-001,19331052
-100002,2,2,1,598,device-001_19331032,motionplay-device-001,19331052
-17,1,1,1,1487,device-001_19331032,motionplay-device-001,19331052
-17,1,2,1,1308,device-001_19331032,motionplay-device-001,19331052
-17,2,1,1,546,device-001_19331032,motionplay-device-001,19331052
-17,2,2,1,597,device-001_19331032,motionplay-device-001,19331052
24,1,1,1,1485,device-001_19331032,motionplay-device-001,19331052
24,1,2,11,1310,device-001_19331032,motionplay-device-001,19331052
24,2,1,1,551,device-001_19331032,motionplay-device-001,19331052
24,2,2,1,597,device-001_19331032,motionplay-device-001,19331052
65,1,1,2,1485,device-001_19331032,motionplay-device-001,19331052
65,1,2,1,1310,device-001_19331032,motionplay-device-001,19331052
65,2,1,1,551,device-001_19331032,motionplay-device-001,19331052
65,2,2,3,602,device-001_19331032,motionplay-device-001,19331052
106,1,1,0,1480,device-001_19331032,motionplay-device-001,19331052
106,1,2,0,1315,device-001_19331032,motionplay-device-001,19331052
106,2,1,1,554,device-001_19331032,motionplay-device-001,19331052
106,2,2,5,599,device-001_19331032,motionplay-device-001,19331052
147,1,1,14,1485,device-001_19331032,motionplay-device-001,19331052
147,1,2,0,1316,device-001_19331032,motionplay-device-001,19331052
147,2,1,1,554,device-001_19331032,motionplay-device-001,19331052
147,2,2,0,599,device-001_19331032,motionplay-device-001,19331052
188,1,1,2,1485,device-001_19331032,motionplay-device-001,19331052
188,1,2,0,1316,device-001_19331032,motionplay-device-001,19331052
188,2,1,0,548,device-001_19331032,motionplay-device-001,19331052
188,2,2,1,601,device-001_19331032,motionplay-device-001,19331052
229,1,1,2,1482,device-001_19331032,motionplay-device-001,19331052
229,1,2,1,1314,device-001_19331032,motionplay-device-001,19331052
229,2,1,1,551,device-001_19331032,motionplay-device-001,19331052
229,2,2,0,601,device-001_19331032,motionplay-device-001,19331052
270,1,1,1,1482,device-001_19331032,motionplay-device-001,19331052
270,1,2,0,1315,device-001_19331032,motionplay-device-001,19331052
270,2,1,1,551,device-001_19331032,motionplay-device-001,19331052
270,2,2,2,602,device-001_19331032,motionplay-device-001,19331052
311,1,1,2,1481,device-001_19331032,motionplay-device-001,19331052
311,1,2,1,1315,device-001_19331032,motionplay-device-001,19331052
311,2,1,0,548,device-001_19331032,motionplay-device-001,19331052
311,2,2,1,597,device-001_19331032,motionplay-device-001,19331052
352,1,1,1,1486,device-001_19331032,motionplay-device-001,19331052
352,1,2,1,1316,device-001_19331032,motionplay-device-001,19331052
352,2,1,0,548,device-001_19331032,motionplay-device-001,19331052
352,2,2,0,597,device-001_19331032,motionplay-device-001,19331052
393,1,1,6,1486,device-001_19331032,motionplay-device-001,19331052
393,1,2,1,1320,device-001_19331032,motionplay-device-001,19331052
393,2,1,1,547,device-001_19331032,motionplay-device-001,19331052
393,2,2,1,602,device-001_19331032,motionplay-device-001,19331052
434,1,1,1,1486,device-001_19331032,motionplay-device-001,19331052
434,1,2,1,1320,device-001_19331032,motionplay-device-001,19331052
434,2,1,0,551,device-001_19331032,motionplay-device-001,19331052
434,2,2,0,602,device-001_19331032,motionplay-device-001,19331052
967,2,1,0,546,device-001_19331032,motionplay-device-001,19331052
967,2,2,1,603,device-001_19331032,motionplay-device-001,19331052
1008,1,1,1,1483,device-001_19331032,motionplay-device-001,19331052
1008,1,2,1,1317,device-001_19331032,motionplay-device-001,19331052
1008,2,1,1,552,device-001_19331032,motionplay-device-001,19331052
1008,2,2,0,600,device-001_19331032,motionplay-device-001,19331052
1049,1,1,1,1483,device-001_19331032,motionplay-device-001,19331052
1049,1,2,0,1310,device-001_19331032,motionplay-device-001,19331052
1049,2,1,1,551,device-001_19331032,motionplay-device-001,19331052
1049,2,2,1,600,device-001_19331032,motionplay-device-001,19331052
1090,1,1,2,1483,device-001_19331032,motionplay-device-001,19331052
1090,1,2,1,1310,device-001_19331032,motionplay-device-001,19331052
1090,2,1,0,551,device-001_19331032,motionplay-device-001,19331052
1090,2,2,1,604,device-001_19331032,motionplay-device-001,19331052
