timestamp_offset,pcb_id,side,proximity,ambient,session_id,device_id,start_timestamp
4300,1,1,3,0,device-001_563349,motionplay-device-001,563370
4300,1,2,3,0,device-001_563349,motionplay-device-001,563370
4300,2,1,2,0,device-001_563349,motionplay-device-001,563370
4300,2,2,2,0,device-001_563349,motionplay-device-001,563370
4300,3,1,4,0,device-001_563349,motionplay-device-001,563370
4300,3,2,4,0,device-001_563349,motionplay-device-001,563370
4302,1,1,3,0,device-001_563349,motionplay-device-001,563370
4302,1,2,3,0,device-001_563349,motionplay-device-001,563370
4302,2,1,2,0,device-001_563349,motionplay-device-001,563370
4302,2,2,3,0,device-001_563349,motionplay-device-001,563370
4302,3,1,4,0,device-001_563349,motionplay-device-001,563370
4302,3,2,1,0,device-001_563349,motionplay-device-001,563370
4304,1,1,3,0,device-001_563349,motionplay-device-001,563370
4304,1,2,3,0,device-001_563349,motionplay-device-001,563370
4304,2,1,2,0,device-001_563349,motionplay-device-001,563370
4304,2,2,3,0,device-001_563349,motionplay-device-001,563370
4304,3,1,4,0,device-001_563349,motionplay-device-001,563370
4304,3,2,1,0,device-001_563349,motionplay-device-001,563370
4306,1,1,3,0,device-001_563349,motionplay-device-001,563370
4306,1,2,3,0,device-001_563349,motionplay-device-001,563370
4306,2,1,2,0,device-001_563349,motionplay-device-001,563370
4306,2,2,3,0,device-001_563349,motionplay-device-001,563370
4306,3,1,4,0,device-001_563349,motionplay-device-001,563370
4306,3,2,1,0,device-001_563349,motionplay-device-001,563370
4308,1,1,3,0,device-001_563349,motionplay-device-001,563370
4308,1,2,3,0,device-001_563349,motionplay-device-001,563370
4308,2,1,2,0,device-001_563349,motionplay-device-001,563370
4308,2,2,3,0,device-001_563349,motionplay-device-001,563370
4308,3,1,4,0,device-001_563349,motionplay-device-001,563370
4308,3,2,1,0,device-001_563349,motionplay-device-001,563370
4310,1,1,3,0,device-001_563349,motionplay-device-001,563370
4310,1,2,3,0,device-001_563349,motionplay-device-001,563370
4310,2,1,2,0,device-001_563349,motionplay-device-001,563370
4310,2,2,3,0,device-001_563349,motionplay-device-001,563370
4310,3,1,4,0,device-001_563349,motionplay-device-001,563370
4310,3,2,1,0,device-001_563349,motionplay-device-001,563370
4313,1,1,3,0,device-001_563349,motionplay-device-001,563370
4313,1,2,3,0,device-001_563349,motionplay-device-001,563370
4313,2,1,2,0,device-001_563349,motionplay-device-001,563370
4313,2,2,3,0,device-001_563349,motionplay-device-001,563370
4313,3,1,4,0,device-001_563349,motionplay-device-001,563370
4313,3,2,1,0,device-001_563349,motionplay-device-001,563370
4315,1,1,3,0,device-001_563349,motionplay-device-001,563370
4315,1,2,3,0,device-001_563349,motionplay-device-001,563370
4315,2,1,2,0,device-001_563349,motionplay-device-001,563370
4315,2,2,3,0,device-001_563349,motionplay-device-001,563370
4315,3,1,4,0,device-001_563349,motionplay-device-001,563370
4315,3,2,1,0,device-001_563349,motionplay-device-001,563370
4317,1,1,3,0,device-001_563349,motionplay-device-001,563370
4317,1,2,3,0,device-001_563349,motionplay-device-001,563370
4317,2,1,1,0,device-001_563349,motionplay-device-001,563370
4317,2,2,3,0,device-001_563349,motionplay-device-001,563370
