timestamp_offset,pcb_id,side,proximity,ambient,session_id,device_id,start_timestamp
1871,1,1,2,0,device-001_19139,motionplay-device-001,19161
1871,1,2,1,0,device-001_19139,motionplay-device-001,19161
1871,2,1,0,0,device-001_19139,motionplay-device-001,19161
1871,2,2,0,0,device-001_19139,motionplay-device-001,19161
1871,3,1,2,0,device-001_19139,motionplay-device-001,19161
1871,3,2,1,0,device-001_19139,motionplay-device-001,19161
1873,1,1,1,0,device-001_19139,motionplay-device-001,19161
1873,1,2,1,0,device-001_19139,motionplay-device-001,19161
1873,2,1,1,0,device-001_19139,motionplay-device-001,19161
1873,2,2,1,0,device-001_19139,motionplay-device-001,19161
1873,3,1,2,0,device-001_19139,motionplay-device-001,19161
1873,3,2,1,0,device-001_19139,motionplay-device-001,19161
1875,1,1,1,0,device-001_19139,motionplay-device-001,19161
1875,1,2,1,0,device-001_19139,motionplay-device-001,19161
1875,2,1,1,0,device-001_19139,motionplay-device-001,19161
1875,2,2,1,0,device-001_19139,motionplay-device-001,19161
1875,3,1,2,0,device-001_19139,motionplay-device-001,19161
1875,3,2,1,0,device-001_19139,motionplay-device-001,19161
1878,1,1,1,0,device-001_19139,motionplay-device-001,19161
1878,1,2,1,0,device-001_19139,motionplay-device-001,19161
1878,2,1,1,0,device-001_19139,motionplay-device-001,19161
1878,2,2,1,0,device-001_19139,motionplay-device-001,19161
1878,3,1,2,0,device-001_19139,motionplay-device-001,19161
1878,3,2,1,0,device-001_19139,motionplay-device-001,19161
1880,1,1,2,0,device-001_19139,motionplay-device-001,19161
1880,1,2,2,0,device-001_19139,motionplay-device-001,19161
1880,2,1,1,0,device-001_19139,motionplay-device-001,19161
1880,2,2,0,0,device-001_19139,motionplay-device-001,19161
1880,3,1,2,0,device-001_19139,motionplay-device-001,19161
1880,3,2,1,0,device-001_19139,motionplay-device-001,19161
1882,1,1,2,0,device-001_19139,motionplay-device-001,19161
1882,1,2,2,0,device-001_19139,motionplay-device-001,19161
1882,2,1,1,0,device-001_19139,motionplay-device-001,19161
1882,2,2,0,0,device-001_19139,motionplay-device-001,19161
