timestamp_offset,pcb_id,side,proximity,ambient,session_id,device_id,start_timestamp
-20,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
-20,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
-20,2,1,1,0,device-001_58233009,motionplay-device-001,58233031
-20,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
-20,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
-20,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
-14,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
-14,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
-14,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
-14,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
-14,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
-14,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
-8,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
-8,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
-8,2,1,1,0,device-001_58233009,motionplay-device-001,58233031
-8,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
-8,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
-8,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
-3,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
-3,1,2,2,0,device-001_58233009,motionplay-device-001,58233031
-3,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
-3,2,2,0,0,device-001_58233009,motionplay-device-001,58233031
-3,3,1,1,0,device-001_58233009,motionplay-device-001,58233031
-3,3,2,2,0,device-001_58233009,motionplay-device-001,58233031
3,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
3,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
3,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
3,2,2,0,0,device-001_58233009,motionplay-device-001,58233031
3,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
3,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
8,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
8,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
8,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
8,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
8,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
8,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
13,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
13,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
13,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
13,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
13,3,1,1,0,device-001_58233009,motionplay-device-001,58233031
13,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
19,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
19,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
19,2,1,2,0,device-001_58233009,motionplay-device-001,58233031
19,2,2,0,0,device-001_58233009,motionplay-device-001,58233031
19,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
19,3,2,2,0,device-001_58233009,motionplay-device-001,58233031
24,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
24,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
24,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
24,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
24,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
24,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
29,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
29,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
29,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
29,2,2,0,0,device-001_58233009,motionplay-device-001,58233031
29,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
29,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
34,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
34,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
34,2,1,1,0,device-001_58233009,motionplay-device-001,58233031
34,2,2,0,0,device-001_58233009,motionplay-device-001,58233031
34,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
34,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
39,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
39,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
39,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
39,2,2,6,0,device-001_58233009,motionplay-device-001,58233031
39,3,1,3,0,device-001_58233009,motionplay-device-001,58233031
39,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
45,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
45,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
45,2,1,1,0,device-001_58233009,motionplay-device-001,58233031
45,2,2,0,0,device-001_58233009,motionplay-device-001,58233031
45,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
45,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
50,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
50,1,2,0,0,device-001_58233009,motionplay-device-001,58233031
50,2,1,1,0,device-001_58233009,motionplay-device-001,58233031
50,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
50,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
50,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
55,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
55,1,2,1,0,device-001_58233009,motionplay-device-001,58233031
55,2,1,1,0,device-001_58233009,motionplay-device-001,58233031
55,2,2,1,0,device-001_58233009,motionplay-device-001,58233031
55,3,1,2,0,device-001_58233009,motionplay-device-001,58233031
55,3,2,1,0,device-001_58233009,motionplay-device-001,58233031
61,1,1,0,0,device-001_58233009,motionplay-device-001,58233031
61,1,2,0,0,device-001_58233009,motionplay-device-001,58233031
61,2,1,0,0,device-001_58233009,motionplay-device-001,58233031
61,2,2,0,0,device-001_58233009,motionplay-device-001,58233031
